substrate,formula,Cs,reduction degree,Crd,product,formula,Cp,reduction degree,Crd,rate,path yield,rdyield,difference
oaa_p,C4H2O5,4,10,2.5,pyr_p,C3H3O3,3,10,3.3333333333333335,1000.0,0.7500000000000017,0.75,-1.6653345369377348e-15
oaa_e,C4H2O5,4,10,2.5,pyr_e,C3H3O3,3,10,3.3333333333333335,999.9999999999998,0.75,0.75,0.0
oaa_c,C4H2O5,4,10,2.5,akg_c,C5H4O5,5,16,3.2,624.9999999999997,0.7812499999999996,0.78125,4.440892098500626e-16
oaa_p,C4H2O5,4,10,2.5,akg_p,C5H4O5,5,16,3.2,623.7623762376261,0.7797029702970326,0.78125,0.001547029702967384
oaa_e,C4H2O5,4,10,2.5,akg_e,C5H4O5,5,16,3.2,623.7623762376243,0.7797029702970303,0.78125,0.0015470297029697155
oaa_c,C4H2O5,4,10,2.5,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.4999999999999999,0.625,0.1250000000000001
oaa_c,C4H2O5,4,10,2.5,f6p_c,C6H11O9P,6,24,4.0,398.0582524271844,0.5970873786407749,0.625,0.02791262135922512
oaa_c,C4H2O5,4,10,2.5,g6p_c,C6H11O9P,6,24,4.0,398.05825242718447,0.5970873786407765,0.625,0.027912621359223455
oaa_c,C4H2O5,4,10,2.5,g3p_c,C3H5O6P,3,12,4.0,788.4615384615407,0.5913461538461536,0.625,0.03365384615384637
oaa_c,C4H2O5,4,10,2.5,succoa_c,C25H35N7O19P3S,4,14,3.5,714.2857142857134,0.7142857142857139,0.7142857142857143,4.440892098500626e-16
3pg_c,C3H4O7P,3,10,3.3333333333333335,e4p_c,C4H7O7P,4,16,4.0,624.9999999999999,0.8333333333333331,0.8333333333333334,2.220446049250313e-16
3pg_c,C3H4O7P,3,10,3.3333333333333335,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,1.0,1.0,0.0
3pg_c,C3H4O7P,3,10,3.3333333333333335,r5p_c,C5H9O8P,5,20,4.0,500.0000000000008,0.8333333333333347,0.8333333333333334,-1.3322676295501878e-15
3pg_c,C3H4O7P,3,10,3.3333333333333335,oaa_c,C4H2O5,4,10,2.5,749.9999999999999,0.9999999999999999,1.3333333333333335,0.3333333333333336
3pg_c,C3H4O7P,3,10,3.3333333333333335,pyr_c,C3H3O3,3,10,3.3333333333333335,1000.0,0.9999999999999999,1.0,1.1102230246251565e-16
3pg_c,C3H4O7P,3,10,3.3333333333333335,akg_c,C5H4O5,5,16,3.2,599.9999999999995,0.9999999999999992,1.0416666666666667,0.04166666666666752
3pg_c,C3H4O7P,3,10,3.3333333333333335,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.6666666666666665,0.8333333333333334,0.16666666666666685
3pg_c,C3H4O7P,3,10,3.3333333333333335,f6p_c,C6H11O9P,6,24,4.0,416.66666666666674,0.8333333333333335,0.8333333333333334,-1.1102230246251565e-16
3pg_c,C3H4O7P,3,10,3.3333333333333335,g6p_c,C6H11O9P,6,24,4.0,416.6666666666674,0.8333333333333348,0.8333333333333334,-1.4432899320127035e-15
3pg_c,C3H4O7P,3,10,3.3333333333333335,g3p_c,C3H5O6P,3,12,4.0,833.3333333333328,0.8333333333333327,0.8333333333333334,6.661338147750939e-16
3pg_c,C3H4O7P,3,10,3.3333333333333335,succoa_c,C25H35N7O19P3S,4,14,3.5,714.285714285715,0.9523809523809478,0.9523809523809524,4.6629367034256575e-15
pyr_c,C3H3O3,3,10,3.3333333333333335,e4p_c,C4H7O7P,4,16,4.0,551.5695067264584,0.7354260089686112,0.8333333333333334,0.09790732436472216
pyr_c,C3H3O3,3,10,3.3333333333333335,pep_c,C3H2O6P,3,10,3.3333333333333335,888.8888888888878,0.8888888888888877,1.0,0.11111111111111227
pyr_c,C3H3O3,3,10,3.3333333333333335,r5p_c,C5H9O8P,5,20,4.0,442.446043165465,0.7374100719424417,0.8333333333333334,0.09592326139089169
pyr_c,C3H3O3,3,10,3.3333333333333335,oaa_c,C4H2O5,4,10,2.5,750.0,1.0,1.3333333333333335,0.3333333333333335
pyr_c,C3H3O3,3,10,3.3333333333333335,3pg_c,C3H4O7P,3,10,3.3333333333333335,891.3043478260854,0.8913043478260855,1.0,0.10869565217391453
pyr_c,C3H3O3,3,10,3.3333333333333335,akg_c,C5H4O5,5,16,3.2,566.0377358490567,0.9433962264150946,1.0416666666666667,0.09827044025157217
pyr_p,C3H3O3,3,10,3.3333333333333335,akg_p,C5H4O5,5,16,3.2,561.9047619047608,0.9365079365079346,1.0416666666666667,0.10515873015873212
pyr_e,C3H3O3,3,10,3.3333333333333335,akg_e,C5H4O5,5,16,3.2,561.9047619047624,0.9365079365079373,1.0416666666666667,0.10515873015872945
pyr_c,C3H3O3,3,10,3.3333333333333335,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0000000000001,0.6666666666666667,0.8333333333333334,0.16666666666666663
pyr_c,C3H3O3,3,10,3.3333333333333335,f6p_c,C6H11O9P,6,24,4.0,369.36936936936934,0.7387387387387385,0.8333333333333334,0.09459459459459485
pyr_c,C3H3O3,3,10,3.3333333333333335,g6p_c,C6H11O9P,6,24,4.0,369.3693693693676,0.7387387387387352,0.8333333333333334,0.09459459459459818
pyr_c,C3H3O3,3,10,3.3333333333333335,g3p_c,C3H5O6P,3,12,4.0,732.1428571428646,0.7321428571428646,0.8333333333333334,0.10119047619046873
pyr_c,C3H3O3,3,10,3.3333333333333335,succoa_c,C25H35N7O19P3S,4,14,3.5,703.1250000000001,0.9375000000000001,0.9523809523809524,0.014880952380952328
akg_c,C5H4O5,5,16,3.2,e4p_c,C4H7O7P,4,16,4.0,750.0000000000001,0.6999999999999991,0.8,0.10000000000000098
akg_c,C5H4O5,5,16,3.2,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,0.6,0.96,0.36
akg_c,C5H4O5,5,16,3.2,r5p_c,C5H9O8P,5,20,4.0,600.0000000000003,0.6999999999999991,0.8,0.10000000000000098
akg_c,C5H4O5,5,16,3.2,oaa_c,C4H2O5,4,10,2.5,1000.0,0.8,1.28,0.48
akg_c,C5H4O5,5,16,3.2,3pg_c,C3H4O7P,3,10,3.3333333333333335,1000.0,0.8399999999999985,0.96,0.12000000000000144
akg_c,C5H4O5,5,16,3.2,pyr_c,C3H3O3,3,10,3.3333333333333335,1000.0,0.9000000000000002,0.96,0.05999999999999972
akg_p,C5H4O5,5,16,3.2,pyr_p,C3H3O3,3,10,3.3333333333333335,1000.0,0.9000000000000002,0.96,0.05999999999999972
akg_e,C5H4O5,5,16,3.2,pyr_e,C3H3O3,3,10,3.3333333333333335,1000.0,0.9000000000000005,0.96,0.0599999999999995
akg_c,C5H4O5,5,16,3.2,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.8000000000000016,0.8,-1.5543122344752192e-15
akg_c,C5H4O5,5,16,3.2,f6p_c,C6H11O9P,6,24,4.0,500.0000000000004,0.6999999999999992,0.7999999999999999,0.10000000000000075
akg_c,C5H4O5,5,16,3.2,g6p_c,C6H11O9P,6,24,4.0,500.00000000000017,0.7000000000000003,0.7999999999999999,0.09999999999999964
akg_c,C5H4O5,5,16,3.2,g3p_c,C3H5O6P,3,12,4.0,999.9999999999997,0.6999999999999995,0.7999999999999999,0.10000000000000042
akg_c,C5H4O5,5,16,3.2,succoa_c,C25H35N7O19P3S,4,14,3.5,1000.0,0.7999999999999999,0.9142857142857144,0.11428571428571443
accoa_c,C23H34N7O17P3S,2,8,4.0,e4p_c,C4H7O7P,4,16,4.0,439.33054393305355,0.8786610878661089,1.0,0.12133891213389114
accoa_c,C23H34N7O17P3S,2,8,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,666.6666666666665,0.9999999999999998,1.2,0.20000000000000018
accoa_c,C23H34N7O17P3S,2,8,4.0,r5p_c,C5H9O8P,5,20,4.0,352.3489932885894,0.8808724832214774,1.0,0.11912751677852262
accoa_c,C23H34N7O17P3S,2,8,4.0,oaa_c,C4H2O5,4,10,2.5,499.99999999999926,1.0000000000000027,1.6,0.5999999999999974
accoa_c,C23H34N7O17P3S,2,8,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,666.6666666666664,0.9999999999999996,1.2,0.2000000000000004
accoa_c,C23H34N7O17P3S,2,8,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,666.6666666666661,0.9999999999999999,1.2,0.20000000000000007
accoa_c,C23H34N7O17P3S,2,8,4.0,akg_c,C5H4O5,5,16,3.2,400.00000000000006,1.0000000000000004,1.25,0.24999999999999956
accoa_c,C23H34N7O17P3S,2,8,4.0,f6p_c,C6H11O9P,6,24,4.0,294.1176470588234,0.8823529411764681,1.0,0.11764705882353188
accoa_c,C23H34N7O17P3S,2,8,4.0,g6p_c,C6H11O9P,6,24,4.0,294.1176470588244,0.8823529411764708,1.0,0.11764705882352922
accoa_c,C23H34N7O17P3S,2,8,4.0,g3p_c,C3H5O6P,3,12,4.0,583.3333333333363,0.8749999999999981,1.0,0.1250000000000019
accoa_c,C23H34N7O17P3S,2,8,4.0,succoa_c,C25H35N7O19P3S,4,14,3.5,500.0000000000001,0.9999999999999947,1.1428571428571428,0.14285714285714812
f6p_c,C6H11O9P,6,24,4.0,e4p_c,C4H7O7P,4,16,4.0,1000.0,0.6666666666666666,1.0,0.33333333333333337
f6p_c,C6H11O9P,6,24,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,0.5,1.2,0.7
f6p_c,C6H11O9P,6,24,4.0,r5p_c,C5H9O8P,5,20,4.0,1000.0,0.8333333333333336,1.0,0.1666666666666664
f6p_c,C6H11O9P,6,24,4.0,oaa_c,C4H2O5,4,10,2.5,1000.0,0.6666666666666666,1.6,0.9333333333333335
f6p_c,C6H11O9P,6,24,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,1000.0,0.7499999999999978,1.2,0.4500000000000022
f6p_c,C6H11O9P,6,24,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,1000.0,0.5000000000000006,1.2,0.6999999999999994
f6p_p,C6H11O9P,6,24,4.0,pyr_p,C3H3O3,3,10,3.3333333333333335,1000.0,0.7499999999999999,1.2,0.45000000000000007
f6p_e,C6H11O9P,6,24,4.0,pyr_e,C3H3O3,3,10,3.3333333333333335,1000.0,0.7499999999999978,1.2,0.4500000000000022
f6p_c,C6H11O9P,6,24,4.0,akg_c,C5H4O5,5,16,3.2,1000.0000000000001,0.8333333333333335,1.25,0.4166666666666665
f6p_p,C6H11O9P,6,24,4.0,akg_p,C5H4O5,5,16,3.2,999.9999999999999,0.8333333333333331,1.25,0.41666666666666685
f6p_e,C6H11O9P,6,24,4.0,akg_e,C5H4O5,5,16,3.2,999.9999999999994,0.8333333333333329,1.25,0.4166666666666671
f6p_c,C6H11O9P,6,24,4.0,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.3333333333333333,1.0,0.6666666666666667
f6p_c,C6H11O9P,6,24,4.0,g6p_c,C6H11O9P,6,24,4.0,1000.0,1.0,1.0,0.0
f6p_c,C6H11O9P,6,24,4.0,g3p_c,C3H5O6P,3,12,4.0,1000.0,0.5,1.0,0.5
f6p_c,C6H11O9P,6,24,4.0,succoa_c,C25H35N7O19P3S,4,14,3.5,1000.0,0.6666666666666666,1.1428571428571428,0.47619047619047616
g6p_c,C6H11O9P,6,24,4.0,e4p_c,C4H7O7P,4,16,4.0,1000.0,0.6666666666666667,1.0,0.33333333333333326
g6p_c,C6H11O9P,6,24,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,0.5,1.2,0.7
g6p_c,C6H11O9P,6,24,4.0,r5p_c,C5H9O8P,5,20,4.0,1000.0,0.8333333333333334,1.0,0.16666666666666663
g6p_c,C6H11O9P,6,24,4.0,oaa_c,C4H2O5,4,10,2.5,1000.0,0.6666666666666666,1.6,0.9333333333333335
g6p_c,C6H11O9P,6,24,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,1000.0,0.7499999999999998,1.2,0.4500000000000002
g6p_c,C6H11O9P,6,24,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,1000.0,0.5227272727272727,1.2,0.6772727272727272
g6p_p,C6H11O9P,6,24,4.0,pyr_p,C3H3O3,3,10,3.3333333333333335,1000.0,0.7500000000000002,1.2,0.44999999999999973
