substrate,formula,Cs,reduction degree,Crd,product,formula,Cp,reduction degree,Crd,rate,path yield,rdyield,difference
3pg_c,C3H4O7P,3,10,3.3333333333333335,r5p_c,C5H9O8P,5,20,4.0,359.9999999999989,0.5999999999999982,0.8333333333333334,0.23333333333333517
3pg_c,C3H4O7P,3,10,3.3333333333333335,oaa_c,C4H2O5,4,10,2.5,499.9999999999999,0.6666666666666665,1.3333333333333335,0.666666666666667
3pg_c,C3H4O7P,3,10,3.3333333333333335,pyr_c,C3H3O3,3,10,3.3333333333333335,1000.0,1.0,1.0,0.0
3pg_c,C3H4O7P,3,10,3.3333333333333335,akg_c,C5H4O5,5,16,3.2,599.9999999999997,0.9999999999999994,1.0416666666666667,0.041666666666667296
3pg_c,C3H4O7P,3,10,3.3333333333333335,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.6666666666666666,0.8333333333333334,0.16666666666666674
3pg_c,C3H4O7P,3,10,3.3333333333333335,f6p_c,C6H11O9P,6,24,4.0,300.0000000000002,0.6000000000000004,0.8333333333333334,0.23333333333333295
3pg_c,C3H4O7P,3,10,3.3333333333333335,g6p_c,C6H11O9P,6,24,4.0,299.999999999999,0.599999999999998,0.8333333333333334,0.2333333333333354
3pg_c,C3H4O7P,3,10,3.3333333333333335,g3p_c,C3H5O6P,3,12,4.0,599.9999999999947,0.5999999999999946,0.8333333333333334,0.23333333333333872
pyr_c,C3H3O3,3,10,3.3333333333333335,e4p_c,C4H7O7P,4,16,4.0,395.0617283950645,0.5267489711934193,0.8333333333333334,0.306584362139914
pyr_c,C3H3O3,3,10,3.3333333333333335,pep_c,C3H2O6P,3,10,3.3333333333333335,672.131147540984,0.672131147540984,1.0,0.327868852459016
pyr_c,C3H3O3,3,10,3.3333333333333335,r5p_c,C5H9O8P,5,20,4.0,316.8316831683227,0.5280528052805379,0.8333333333333334,0.3052805280527955
pyr_c,C3H3O3,3,10,3.3333333333333335,oaa_c,C4H2O5,4,10,2.5,500.0,0.6666666666666666,1.3333333333333335,0.6666666666666669
pyr_c,C3H3O3,3,10,3.3333333333333335,3pg_c,C3H4O7P,3,10,3.3333333333333335,672.1311475409827,0.6721311475409827,1.0,0.3278688524590173
pyr_c,C3H3O3,3,10,3.3333333333333335,akg_c,C5H4O5,5,16,3.2,600.0000000000003,1.0000000000000007,1.0416666666666667,0.041666666666666075
pyr_c,C3H3O3,3,10,3.3333333333333335,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.6666666666666666,0.8333333333333334,0.16666666666666674
pyr_c,C3H3O3,3,10,3.3333333333333335,f6p_c,C6H11O9P,6,24,4.0,264.4628099173557,0.5289256198347114,0.8333333333333334,0.30440771349862195
pyr_c,C3H3O3,3,10,3.3333333333333335,g6p_c,C6H11O9P,6,24,4.0,264.46280991735637,0.5289256198347128,0.8333333333333334,0.3044077134986206
pyr_c,C3H3O3,3,10,3.3333333333333335,g3p_c,C3H5O6P,3,12,4.0,524.590163934426,0.5245901639344259,0.8333333333333334,0.30874316939890745
akg_c,C5H4O5,5,16,3.2,e4p_c,C4H7O7P,4,16,4.0,222.85714285714326,0.1782857142857147,0.8,0.6217142857142853
akg_c,C5H4O5,5,16,3.2,pep_c,C3H2O6P,3,10,3.3333333333333335,481.4814814814826,0.28888888888888953,0.96,0.6711111111111104
akg_c,C5H4O5,5,16,3.2,r5p_c,C5H9O8P,5,20,4.0,178.8990825688075,0.17889908256880702,0.8,0.621100917431193
akg_c,C5H4O5,5,16,3.2,oaa_c,C4H2O5,4,10,2.5,500.00000000000074,0.4000000000000006,1.28,0.8799999999999994
