substrate,formula,Cs,reduction degree,Crd,product,formula,Cp,reduction degree,Crd,rate,path yield,rdyield,difference
oaa_c,C4H2O5,4,10,2.5,g6p_c,C6H11O9P,6,24,4.0,320.1559020044548,0.4802338530066822,0.625,0.1447661469933178
oaa_c,C4H2O5,4,10,2.5,g3p_c,C3H5O6P,3,12,4.0,587.9345603271943,0.4409509202453957,0.625,0.18404907975460427
oaa_c,C4H2O5,4,10,2.5,succoa_c,C25H35N7O19P3S,4,14,3.5,714.2857142857146,0.7142857142857145,0.7142857142857143,-2.220446049250313e-16
3pg_c,C3H4O7P,3,10,3.3333333333333335,e4p_c,C4H7O7P,4,16,4.0,545.454545454545,0.7272727272727267,0.8333333333333334,0.10606060606060663
3pg_c,C3H4O7P,3,10,3.3333333333333335,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,1.0000000000000004,1.0,-4.440892098500626e-16
3pg_c,C3H4O7P,3,10,3.3333333333333335,r5p_c,C5H9O8P,5,20,4.0,396.22641509433953,0.6603773584905658,0.8333333333333334,0.1729559748427676
3pg_c,C3H4O7P,3,10,3.3333333333333335,oaa_c,C4H2O5,4,10,2.5,390.09287925696594,0.5201238390092879,1.3333333333333335,0.8132094943240455
3pg_c,C3H4O7P,3,10,3.3333333333333335,pyr_c,C3H3O3,3,10,3.3333333333333335,549.0196078431374,0.5490196078431373,1.0,0.4509803921568627
3pg_c,C3H4O7P,3,10,3.3333333333333335,akg_c,C5H4O5,5,16,3.2,321.2237093690246,0.5353728489483743,1.0416666666666667,0.5062938177182924
3pg_c,C3H4O7P,3,10,3.3333333333333335,accoa_c,C23H34N7O17P3S,2,8,4.0,906.2500000000002,0.6041666666666669,0.8333333333333334,0.22916666666666652
3pg_c,C3H4O7P,3,10,3.3333333333333335,f6p_c,C6H11O9P,6,24,4.0,311.11111111111177,0.6222222222222236,0.8333333333333334,0.2111111111111098
3pg_c,C3H4O7P,3,10,3.3333333333333335,g6p_c,C6H11O9P,6,24,4.0,311.111111111111,0.6222222222222219,0.8333333333333334,0.21111111111111147
3pg_c,C3H4O7P,3,10,3.3333333333333335,g3p_c,C3H5O6P,3,12,4.0,833.3333333333335,0.8333333333333335,0.8333333333333334,-1.1102230246251565e-16
3pg_c,C3H4O7P,3,10,3.3333333333333335,succoa_c,C25H35N7O19P3S,4,14,3.5,425.31645569620287,0.5670886075949371,0.9523809523809524,0.3852923447860154
pyr_c,C3H3O3,3,10,3.3333333333333335,e4p_c,C4H7O7P,4,16,4.0,427.77185501066117,0.5703624733475482,0.8333333333333334,0.2629708599857852
pyr_c,C3H3O3,3,10,3.3333333333333335,pep_c,C3H2O6P,3,10,3.3333333333333335,656.441717791411,0.6564417177914109,1.0,0.3435582822085891
pyr_c,C3H3O3,3,10,3.3333333333333335,r5p_c,C5H9O8P,5,20,4.0,351.2035010940921,0.5853391684901535,0.8333333333333334,0.24799416484317982
pyr_c,C3H3O3,3,10,3.3333333333333335,oaa_c,C4H2O5,4,10,2.5,736.8300503893745,0.9824400671858327,1.3333333333333335,0.3508932661475008
pyr_c,C3H3O3,3,10,3.3333333333333335,3pg_c,C3H4O7P,3,10,3.3333333333333335,656.4417177914107,0.6564417177914107,1.0,0.3435582822085893
pyr_c,C3H3O3,3,10,3.3333333333333335,akg_c,C5H4O5,5,16,3.2,599.9999999999998,0.9999999999999997,1.0416666666666667,0.041666666666667074
pyr_c,C3H3O3,3,10,3.3333333333333335,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.7999999999999999,0.8333333333333334,0.03333333333333344
pyr_c,C3H3O3,3,10,3.3333333333333335,f6p_c,C6H11O9P,6,24,4.0,297.8841870824055,0.595768374164811,0.8333333333333334,0.23756495916852238
pyr_c,C3H3O3,3,10,3.3333333333333335,g6p_c,C6H11O9P,6,24,4.0,297.88418708240533,0.5957683741648107,0.8333333333333334,0.23756495916852272
pyr_c,C3H3O3,3,10,3.3333333333333335,g3p_c,C3H5O6P,3,12,4.0,547.0347648261755,0.5470347648261755,0.8333333333333334,0.28629856850715785
pyr_c,C3H3O3,3,10,3.3333333333333335,succoa_c,C25H35N7O19P3S,4,14,3.5,714.2857142857144,0.9523809523809527,0.9523809523809524,-2.220446049250313e-16
akg_c,C5H4O5,5,16,3.2,e4p_c,C4H7O7P,4,16,4.0,71.42857142857179,0.05714285714285687,0.8,0.7428571428571432
akg_c,C5H4O5,5,16,3.2,pep_c,C3H2O6P,3,10,3.3333333333333335,101.69491525423753,0.06101694915254159,0.96,0.8989830508474583
akg_c,C5H4O5,5,16,3.2,r5p_c,C5H9O8P,5,20,4.0,57.692307692307715,0.05769230769230805,0.8,0.742307692307692
akg_c,C5H4O5,5,16,3.2,oaa_c,C4H2O5,4,10,2.5,115.38461538461672,0.09230769230769126,1.28,1.1876923076923087
akg_c,C5H4O5,5,16,3.2,3pg_c,C3H4O7P,3,10,3.3333333333333335,101.69491525423737,0.06101694915254243,0.96,0.8989830508474576
akg_c,C5H4O5,5,16,3.2,pyr_c,C3H3O3,3,10,3.3333333333333335,117.64705882352938,0.0705882352941181,0.96,0.8894117647058819
akg_c,C5H4O5,5,16,3.2,accoa_c,C23H34N7O17P3S,2,8,4.0,173.0769230769231,0.06923076923076911,0.8,0.730769230769231
akg_c,C5H4O5,5,16,3.2,f6p_c,C6H11O9P,6,24,4.0,48.38709677419374,0.05806451612903212,0.7999999999999999,0.7419354838709679
akg_c,C5H4O5,5,16,3.2,g6p_c,C6H11O9P,6,24,4.0,48.38709677419381,0.05806451612903155,0.7999999999999999,0.7419354838709684
akg_c,C5H4O5,5,16,3.2,g3p_c,C3H5O6P,3,12,4.0,93.7500000000004,0.0562499999999999,0.7999999999999999,0.74375
akg_c,C5H4O5,5,16,3.2,succoa_c,C25H35N7O19P3S,4,14,3.5,1000.0,0.8,0.9142857142857144,0.11428571428571432
accoa_c,C23H34N7O17P3S,2,8,4.0,e4p_c,C4H7O7P,4,16,4.0,329.42430703624757,0.6588486140724952,1.0,0.3411513859275048
accoa_c,C23H34N7O17P3S,2,8,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,505.52147239263786,0.7582822085889568,1.2,0.44171779141104317
accoa_c,C23H34N7O17P3S,2,8,4.0,r5p_c,C5H9O8P,5,20,4.0,270.4595185995624,0.676148796498906,1.0,0.323851203501094
accoa_c,C23H34N7O17P3S,2,8,4.0,oaa_c,C4H2O5,4,10,2.5,439.30371049015093,0.8786074209803019,1.6,0.7213925790196982
accoa_c,C23H34N7O17P3S,2,8,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,505.5214723926379,0.7582822085889569,1.2,0.44171779141104306
accoa_c,C23H34N7O17P3S,2,8,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,619.3090087181142,0.9289635130771713,1.2,0.27103648692282867
accoa_c,C23H34N7O17P3S,2,8,4.0,akg_c,C5H4O5,5,16,3.2,362.22851746931076,0.9055712936732768,1.25,0.3444287063267232
accoa_c,C23H34N7O17P3S,2,8,4.0,f6p_c,C6H11O9P,6,24,4.0,229.3986636971046,0.6881959910913138,1.0,0.3118040089086862
accoa_c,C23H34N7O17P3S,2,8,4.0,g6p_c,C6H11O9P,6,24,4.0,229.39866369710458,0.6881959910913138,1.0,0.3118040089086862
accoa_c,C23H34N7O17P3S,2,8,4.0,g3p_c,C3H5O6P,3,12,4.0,421.2678936605314,0.6319018404907971,1.0,0.3680981595092029
accoa_c,C23H34N7O17P3S,2,8,4.0,succoa_c,C25H35N7O19P3S,4,14,3.5,479.9799799799804,0.9599599599599608,1.1428571428571428,0.18289718289718204
f6p_c,C6H11O9P,6,24,4.0,e4p_c,C4H7O7P,4,16,4.0,1000.0,0.9999999999999994,1.0,5.551115123125783e-16
f6p_c,C6H11O9P,6,24,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,0.7499999999999979,1.2,0.45000000000000207
f6p_c,C6H11O9P,6,24,4.0,r5p_c,C5H9O8P,5,20,4.0,1000.0,0.9999999999999996,1.0,4.440892098500626e-16
f6p_c,C6H11O9P,6,24,4.0,oaa_c,C4H2O5,4,10,2.5,992.8491306786269,0.661899420452418,1.6,0.9381005795475821
f6p_c,C6H11O9P,6,24,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,1000.0,0.5310398344542162,1.2,0.6689601655457837
f6p_c,C6H11O9P,6,24,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,1000.0,0.5141925202928136,1.2,0.6858074797071864
f6p_c,C6H11O9P,6,24,4.0,akg_c,C5H4O5,5,16,3.2,816.7243367935415,0.680603613994618,1.25,0.569396386005382
