bigg_id,name,iAF692_results,iAF987_results,iAM_Pb448_results,iAM_Pc455_results,iAM_Pf480_results,iAM_Pk459_results,iHN637_results,iJN1463_results,iML1515_results,iPC815_results,iSDY_1059_results,iSF_1195_results,iSSON_1240_results,iSbBS512_1146_results,iYL1228_results,iAF692,iAF987,iAM_Pb448,iAM_Pc455,iAM_Pf480,iAM_Pk459,iHN637,iJN1463,iML1515,iPC815,iSDY_1059,iSF_1195,iSSON_1240,iSbBS512_1146,iYL1228
3c3hmp_c,3-Carboxy-3-hydroxy-4-methylpentanoate,GSC,GSC,,,,,GSC,GSC,GSC,OUT,GSC,GSC,GSC,GSC,OUT,GSC,GSC,,,,,GSC,GSC,GSC,OUT,GSC,GSC,GSC,GSC,OUT
3c4mop_c,3-Carboxy-4-methyl-2-oxopentanoate,OUT,GSC,,,,,OUT,GSC,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,GSC,,,,,OUT,GSC,OUT,OUT,OUT,OUT,OUT,OUT,OUT
3dhq_c,3-Dehydroquinate,OUT,OUT,OUT,OUT,OUT,OUT,OUT,GSC,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,GSC,OUT,OUT,OUT,OUT,OUT,OUT,OUT
3haACP_c,(3R)-3-Hydroxyacyl-[acyl-carrier protein],,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC
3hadpcoa_c,(3S)-3-Hydroxyadipyl-CoA,,,,,,,,GSC,IN,,IS,IS,IS,IS,IN,,,,,,,,GSC,IN,,IS,IS,IS,IS,IN
3hcddec5eACP_c,(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein],,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC
3hcmrs7eACP_c,(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein],,OUT,,,,,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
3hdcoa_c,(S)-3-Hydroxydecanoyl-CoA,,GSC,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,GSC,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
3hdecACP_c,(R)-3-Hydroxydecanoyl-[acyl-carrier protein],,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC
3hhdcoa_c,(S)-3-Hydroxyhexadecanoyl-CoA,,GSC,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,GSC,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
3hocoa_c,(S)-3-Hydroxyoctanoyl-CoA,,GSC,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,GSC,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
3hoctaACP_c,(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein],,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC
3hpppn_c,3-(3-hydroxy-phenyl)propionate,,,,,,,,,IN,IS,IS,IS,IS,IS,IN,,,,,,,,,IN,IS,IS,IS,IS,IS,IN
3mop_c,(S)-3-Methyl-2-oxopentanoate,OUT,OUT,IS,IS,IS,IS,OUT,GSC,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,IS,IS,IS,IS,OUT,GSC,OUT,OUT,OUT,OUT,OUT,OUT,OUT
3ocddec5eACP_c,3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein],,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC
3odcoa_c,3-Oxodecanoyl-CoA,,GSC,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,GSC,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
3ohcoa_c,3-Oxohexanoyl-CoA,,GSC,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,GSC,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
3opalmACP_c,3-Oxohexadecanoyl-[acyl-carrier protein],,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC
3pg_c,3-Phospho-D-glycerate,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
4h2opntn_c,4-Hydroxy-2-oxopentanoate,,,,,,,,IN,IN,IS,,IS,IN,,IN,,,,,,,,IN,IN,IS,,IS,IN,,IN
5aizc_c,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,OUT,GSC,,,,,GSC,GSC,GSC,IS,GSC,GSC,GSC,GSC,GSC,OUT,GSC,,,,,GSC,GSC,GSC,IS,GSC,GSC,GSC,GSC,GSC
5aop_c,5-Amino-4-oxopentanoate,OUT,OUT,IS,IS,IS,IS,OUT,OUT,OUT,IS,OUT,OUT,OUT,OUT,OUT,OUT,OUT,IS,IS,IS,IS,OUT,OUT,OUT,IS,OUT,OUT,OUT,OUT,OUT
5mta_c,5-Methylthioadenosine,IS,IS,IS,IS,IS,IS,OUT,,GSC,IN,OUT,IN,GSC,OUT,GSC,IS,IS,IS,IS,IS,IS,OUT,,GSC,IN,OUT,IN,GSC,OUT,GSC
5mtr_c,5-Methylthio-D-ribose,,,,,,,OUT,,OUT,IN,OUT,IS,OUT,OUT,GSC,,,,,,,OUT,,OUT,IN,OUT,IS,OUT,OUT,GSC
6pgc_c,6-Phospho-D-gluconate,,GSC,GSC,GSC,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,GSC,GSC,GSC,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
