bigg_id,name,iAF692_results,iAF987_results,iAM_Pb448_results,iAM_Pc455_results,iAM_Pf480_results,iAM_Pk459_results,iHN637_results,iJN1463_results,iML1515_results,iPC815_results,iSDY_1059_results,iSF_1195_results,iSSON_1240_results,iSbBS512_1146_results,iYL1228_results,iAF692,iAF987,iAM_Pb448,iAM_Pc455,iAM_Pf480,iAM_Pk459,iHN637,iJN1463,iML1515,iPC815,iSDY_1059,iSF_1195,iSSON_1240,iSbBS512_1146,iYL1228
nh4_c,Ammonium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_c,Nitric oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no3_c,Nitrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o2_c,O2 O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ocdca_c,Octadecanoate (n-C18:0),,OUT,IS,IS,IS,IS,IS,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC,,OUT,IS,IS,IS,IS,IS,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC
ocdcaACP_c,Octadecanoyl-ACP (n-C18:0ACP),,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC
octapb_c,Octanoate (protein bound),,,,,,,,OUT,OUT,,OUT,OUT,OUT,OUT,,,,,,,,,OUT,OUT,,OUT,OUT,OUT,OUT,
octdp_c,All-trans-Octaprenyl diphosphate,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT
od2coa_c,Trans-Octadec-2-enoyl-CoA,,GSC,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,GSC,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
orn_c,Ornithine,OUT,OUT,IS,IS,IS,IS,GSC,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,OUT,OUT,IS,IS,IS,IS,GSC,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC
oxadpcoa_c,3-Oxoadipyl-CoA,,,,,,,,GSC,IN,,,IN,IN,IN,IN,,,,,,,,GSC,IN,,,IN,IN,IN,IN
oxalcoa_c,Oxalyl-CoA,,,,,,,,,IN,,IS,IS,IS,IS,,,,,,,,,,IN,,IS,IS,IS,IS,
oxur_c,Oxalureate,,,,,,,,,OUT,,IS,IS,IS,IS,,,,,,,,,,OUT,,IS,IS,IS,IS,
pa141_c,"1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate",,OUT,,,,,,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC
pa180_c,"1,2-dioctadecanoyl-sn-glycerol 3-phosphate",,OUT,,,,,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
pacald_c,Phenylacetaldehyde,,,,,,,,GSC,IN,IS,IS,IS,IS,IS,IN,,,,,,,,GSC,IN,IS,IS,IS,IS,IS,IN
pap_c,"Adenosine 3',5'-bisphosphate",IS,OUT,,,,,IS,GSC,GSC,IS,GSC,GSC,GSC,GSC,GSC,IS,OUT,,,,,IS,GSC,GSC,IS,GSC,GSC,GSC,GSC,GSC
pe181_c,"Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)",,OUT,,,,,OUT,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,OUT,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC
pg160_c,"Phosphatidylglycerol (dihexadecanoyl, n-C16:0)",,OUT,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
pg180_c,"Phosphatidylglycerol (dioctadecanoyl, n-C18:0)",,OUT,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
pgp160_c,"Phosphatidylglycerophosphate (dihexadecanoyl, n-C16:0)",,OUT,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
phaccoa_c,Phenylacetyl-CoA,OUT,OUT,,,,,,GSC,IN,,,,,,IN,OUT,OUT,,,,,,GSC,IN,,,,,,IN
pheme_c,Protoheme C34H30FeN4O4,,OUT,IS,IS,IS,IS,,OUT,OUT,IS,OUT,OUT,OUT,OUT,OUT,,OUT,IS,IS,IS,IS,,OUT,OUT,IS,OUT,OUT,OUT,OUT,OUT
phhlipa_c,Phospho-heptosyl-heptosyl-kdo2-lipidA,,,,,,,,,OUT,,OUT,OUT,OUT,OUT,IS,,,,,,,,,OUT,,OUT,OUT,OUT,OUT,IS
phphhlipa_c,Phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA,,,,,,,,,OUT,,OUT,,OUT,OUT,,,,,,,,,,OUT,,OUT,,OUT,OUT,
phpyr_c,Phenylpyruvate,OUT,OUT,IS,IS,IS,IS,OUT,GSC,OUT,IS,OUT,OUT,OUT,OUT,OUT,OUT,OUT,IS,IS,IS,IS,OUT,GSC,OUT,IS,OUT,OUT,OUT,OUT,OUT
pimACP_c,Pimeloyl-[acyl-carrier protein],,OUT,,,,,,OUT,OUT,,OUT,OUT,OUT,OUT,,,OUT,,,,,,OUT,OUT,,OUT,OUT,OUT,OUT,
pmeACP_c,Pimeloyl-[acyl-carrier protein] methyl ester,,OUT,,,,,,GSC,OUT,,OUT,OUT,OUT,OUT,,,OUT,,,,,,GSC,OUT,,OUT,OUT,OUT,OUT,
ppa_c,Propionate (n-C3:0),OUT,GSC,IS,IS,IS,IS,OUT,GSC,GSC,OUT,OUT,OUT,OUT,OUT,OUT,OUT,GSC,IS,IS,IS,IS,OUT,GSC,GSC,OUT,OUT,OUT,OUT,OUT,OUT
ppal_c,Propanal,,GSC,,,,,,IN,IN,IS,IS,IS,OUT,IS,IS,,GSC,,,,,,IN,IN,IS,IS,IS,OUT,IS,IS
ppcoa_c,Propanoyl-CoA,OUT,GSC,IS,IS,IS,IS,OUT,GSC,GSC,OUT,OUT,OUT,OUT,OUT,OUT,OUT,GSC,IS,IS,IS,IS,OUT,GSC,GSC,OUT,OUT,OUT,OUT,OUT,OUT
pram_c,5-Phospho-beta-D-ribosylamine,OUT,OUT,,,,,OUT,GSC,GSC,IS,OUT,GSC,GSC,OUT,GSC,OUT,OUT,,,,,OUT,GSC,GSC,IS,OUT,GSC,GSC,OUT,GSC
pran_c,N-(5-Phospho-D-ribosyl)anthranilate,GSC,OUT,,,,,GSC,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,GSC,OUT,,,,,GSC,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC
prbamp_c,1-(5-Phosphoribosyl)-AMP,OUT,GSC,,,,,GSC,GSC,GSC,IS,GSC,GSC,GSC,GSC,GSC,OUT,GSC,,,,,GSC,GSC,GSC,IS,GSC,GSC,GSC,GSC,GSC
prbatp_c,1-(5-Phosphoribosyl)-ATP,OUT,GSC,,,,,GSC,GSC,GSC,IS,GSC,GSC,GSC,GSC,GSC,OUT,GSC,,,,,GSC,GSC,GSC,IS,GSC,GSC,GSC,GSC,GSC
ps120_c,"Phosphatidylserine (didodecanoyl, n-C12:0)",,OUT,,,,,OUT,OUT,GSC,IN,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,OUT,OUT,GSC,IN,GSC,GSC,GSC,GSC,GSC
pyam5p_c,Pyridoxamine 5'-phosphate,,,GSC,GSC,GSC,GSC,,IS,OUT,IS,OUT,OUT,OUT,OUT,OUT,,,GSC,GSC,GSC,GSC,,IS,OUT,IS,OUT,OUT,OUT,OUT,OUT
pydam_c,Pyridoxamine,,,GSC,GSC,GSC,GSC,,IS,OUT,IS,OUT,OUT,OUT,OUT,OUT,,,GSC,GSC,GSC,GSC,,IS,OUT,IS,OUT,OUT,OUT,OUT,OUT
pydxn_c,Pyridoxine,,,GSC,GSC,GSC,GSC,IS,IS,OUT,IS,IS,OUT,OUT,OUT,OUT,,,GSC,GSC,GSC,GSC,IS,IS,OUT,IS,IS,OUT,OUT,OUT,OUT
ragund_c,Rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate,,,,,,,,,IS,,IS,IS,IS,IS,,,,,,,,,,IS,,IS,IS,IS,IS,
rhcys_c,S-Ribosyl-L-homocysteine,,,,,,,OUT,,GSC,IS,OUT,IS,OUT,OUT,OUT,,,,,,,OUT,,GSC,IS,OUT,IS,OUT,OUT,OUT
ru5p__D_c,D-Ribulose 5-phosphate,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
ru5p__L_c,L-Ribulose 5-phosphate,,,,,,,GSC,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,,,,,,GSC,,GSC,GSC,GSC,GSC,GSC,GSC,GSC
scl_c,Sirohydrochlorin,OUT,OUT,,,,,OUT,OUT,OUT,IS,OUT,OUT,OUT,OUT,OUT,OUT,OUT,,,,,OUT,OUT,OUT,IS,OUT,OUT,OUT,OUT,OUT
sectrna_c,L-Selenocysteinyl-tRNA(Sec),,IS,,,,,,IS,,IS,IS,IS,IS,IS,IS,,IS,,,,,,IS,,IS,IS,IS,IS,IS,IS
sertrna_c,L-Seryl-tRNA(Ser),IS,IS,,,,,IS,IS,,IS,IS,IS,IS,IS,IS,IS,IS,,,,,IS,IS,,IS,IS,IS,IS,IS,IS
skm_c,Shikimate,OUT,OUT,OUT,OUT,OUT,OUT,OUT,GSC,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,GSC,OUT,OUT,OUT,OUT,OUT,OUT,OUT
sl26da_c,"N-Succinyl-LL-2,6-diaminoheptanedioate",,,,,,,IN,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,,,,,,,IN,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC
slnt_c,Selenite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so3_c,Sulfite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sucglu_c,N2-Succinyl-L-glutamate,,,,,,,,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,,,,,,,,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC
sucgsa_c,N2-Succinyl-L-glutamate 5-semialdehyde,,,,,,,,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,,,,,,,,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC
sufbcd_2fe2s2_c,SufBCD with two bound [2Fe-2S] clusters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3c7mrseACP_c,Trans-3-cis-7-myristoleoyl-[acyl-carrier protein],,OUT,,,,,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
tagur_c,D-Tagaturonate,,IS,,,,,,,IN,IS,,IN,IN,IN,IN,,IS,,,,,,,IN,IS,,IN,IN,IN,IN
tdecoa_c,Tetradecenoyl-CoA (n-C14:1CoA),,GSC,IS,IS,IS,IS,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,GSC,IS,IS,IS,IS,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
thdp_c,"2,3,4,5-Tetrahydrodipicolinate",OUT,OUT,,,,,OUT,GSC,OUT,IS,OUT,OUT,OUT,OUT,OUT,OUT,OUT,,,,,OUT,GSC,OUT,IS,OUT,OUT,OUT,OUT,OUT
thf_c,"5,6,7,8-Tetrahydrofolate",IS,OUT,IS,IS,IS,IS,IS,OUT,OUT,IS,OUT,OUT,OUT,OUT,OUT,IS,OUT,IS,IS,IS,IS,IS,OUT,OUT,IS,OUT,OUT,OUT,OUT,OUT
thm_c,Thiamin,IS,,IS,IS,IS,IS,IS,,IS,IS,IS,IS,IS,IS,IS,IS,,IS,IS,IS,IS,IS,,IS,IS,IS,IS,IS,IS,IS
thmmp_c,Thiamin monophosphate,IS,OUT,IS,IS,IS,IS,IS,OUT,OUT,IS,OUT,OUT,OUT,IS,OUT,IS,OUT,IS,IS,IS,IS,IS,OUT,OUT,IS,OUT,OUT,OUT,IS,OUT
thmnp_c,Tetrahydromonapterin,,,,,,,,OUT,OUT,,OUT,OUT,OUT,OUT,,,,,,,,,OUT,OUT,,OUT,OUT,OUT,OUT,
thmpp_c,Thiamine diphosphate,IS,OUT,IS,IS,IS,IS,IS,OUT,OUT,IS,OUT,OUT,OUT,IS,OUT,IS,OUT,IS,IS,IS,IS,IS,OUT,OUT,IS,OUT,OUT,OUT,IS,OUT
thym_c,Thymine C5H6N2O2,IS,IS,IS,IS,IS,IS,,GSC,OUT,IS,OUT,OUT,OUT,OUT,OUT,IS,IS,IS,IS,IS,IS,,GSC,OUT,IS,OUT,OUT,OUT,OUT,OUT
tmrs2eACP_c,Trans-Tetradec-2-enoyl-[acyl-carrier protein],,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC
tpalm2eACP_c,Trans-Hexadec-2-enoyl-[acyl-carrier protein],,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC
trnaala_c,TRNA(Ala),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trnaasn_c,TRNA Asn  C10H17O10PR2,,IS,,,,,,,,IS,IS,IS,IS,IS,,,IS,,,,,,,,IS,IS,IS,IS,IS,
trnaasp_c,TRNA(Asp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trnaile_c,TRNA(Ile),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trnamet_c,TRNA(Met),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trnaphe_c,TRNA(Phe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trptrna_c,L-Tryptophanyl-tRNA(Trp),IS,IS,,,,,,IS,,IS,IS,IS,IS,IS,IS,IS,IS,,,,,,IS,,IS,IS,IS,IS,IS,IS
tsul_c,Thiosulfate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tungs_c,Tungstate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uLa4fn_c,Undecaprenyl phosphate-4-amino-4-formyl-L-arabinose,,OUT,,,,,,,GSC,IS,GSC,IN,GSC,IN,GSC,,OUT,,,,,,,GSC,IS,GSC,IN,GSC,IN,GSC
uaagmda_c,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-ala-D-glu-meso-2,6-diaminopimeloyl-D-ala-D-ala",,GSC,,,,,GSC,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,,GSC,,,,,GSC,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC
uacgam_c,UDP-N-acetyl-D-glucosamine,OUT,OUT,OUT,OUT,OUT,OUT,OUT,GSC,GSC,IS,GSC,GSC,GSC,GSC,GSC,OUT,OUT,OUT,OUT,OUT,OUT,OUT,GSC,GSC,IS,GSC,GSC,GSC,GSC,GSC
uacmam_c,UDP-N-acetyl-D-mannosamine,OUT,OUT,,,,,OUT,GSC,GSC,IS,GSC,GSC,GSC,GSC,GSC,OUT,OUT,,,,,OUT,GSC,GSC,IS,GSC,GSC,GSC,GSC,GSC
udcpp_c,Undecaprenyl phosphate,,OUT,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,,OUT,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT
udpgalfur_c,"UDP-D-galacto-1,4-furanose",,,,,,,OUT,,OUT,,,,,,,,,,,,,OUT,,OUT,,,,,,
udpglcur_c,UDP-D-glucuronate,GSC,OUT,,,,,OUT,,GSC,OUT,GSC,IN,GSC,GSC,OUT,GSC,OUT,,,,,OUT,,GSC,OUT,GSC,IN,GSC,GSC,OUT
xdp_c,XDP,,,,,,,,,OUT,,OUT,,OUT,OUT,IS,,,,,,,,,OUT,,OUT,,OUT,OUT,IS
xyl__D_c,D-Xylose,,,,,,,IN,,IN,IN,,IS,IN,IN,IN,,,,,,,IN,,IN,IN,,IS,IN,IN,IN
xylu__D_c,D-Xylulose,,,,,,,IN,,IN,IN,IN,IN,IN,IN,IN,,,,,,,IN,,IN,IN,IN,IN,IN,IN,IN
23camp_e,"2',3'-Cyclic AMP",,,,,,,,,IN,IN,IN,IN,IN,IS,IN,,,,,,,,,IN,IN,IN,IN,IN,IS,IN
23ccmp_e,"2',3'-Cyclic CMP",,,,,,,,,IN,IN,IN,IN,IN,IS,IN,,,,,,,,,IN,IN,IN,IN,IN,IS,IN
23cgmp_e,"2',3'-Cyclic GMP",,,,,,,,,IN,IN,IN,IN,IN,IS,IN,,,,,,,,,IN,IN,IN,IN,IN,IS,IN
23dappa_e,"2,3-diaminopropionate",,,,,,,,,IN,IS,IS,IS,IN,IS,IN,,,,,,,,,IN,IS,IS,IS,IN,IS,IN
2ddglcn_e,2-Dehydro-3-deoxy-D-gluconate,,,,,,,,IS,IN,IN,IS,IN,IN,IN,IN,,,,,,,,IS,IN,IN,IS,IN,IN,IN,IN
3gmp_e,Guanosine 3  phosphate C10H12N5O8P,,,,,,,,,IN,IN,IN,IN,IN,IS,IN,,,,,,,,,IN,IN,IN,IN,IN,IS,IN
3hcinnm_e,3-hydroxycinnamic acid,,,,,,,,,IN,IS,IS,IS,IS,IS,IN,,,,,,,,,IN,IS,IS,IS,IS,IS,IN
LalaLglu_e,L-alanine-L-glutamate,,,,,,,,IN,IN,,IN,IN,IN,IN,,,,,,,,,IN,IN,,IN,IN,IN,IN,
ac_e,Acetate,GSC,GSC,OUT,OUT,OUT,OUT,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,OUT,OUT,OUT,OUT,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
adn_e,Adenosine,,,IN,IN,IN,IN,,IS,GSC,IN,IN,IN,IN,IN,IN,,,IN,IN,IN,IN,,IS,GSC,IN,IN,IN,IN,IN,IN
adocbl_e,Adenosylcobalamin,,,,,,,,IN,IN,IN,IN,IN,IN,IS,IN,,,,,,,,IN,IN,IN,IN,IN,IN,IS,IN
ala__D_e,D-Alanine,,,,,,,GSC,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,,,,,,,GSC,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC
alaala_e,D-Alanyl-D-alanine,,,,,,,OUT,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,,,,,,,OUT,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC
arbt_e,Arbutin C12H16O7,,,,,,,,,IN,,IS,IN,IN,IS,,,,,,,,,,IN,,IS,IN,IN,IS,
ascb__L_e,L-Ascorbate,,,,,,,,,IN,IS,IN,IN,IN,IN,IN,,,,,,,,,IN,IS,IN,IN,IN,IN,IN
asn__L_e,L-Asparagine,,,OUT,OUT,OUT,OUT,OUT,IN,GSC,IN,GSC,GSC,GSC,GSC,GSC,,,OUT,OUT,OUT,OUT,OUT,IN,GSC,IN,GSC,GSC,GSC,GSC,GSC
ca2_e,Calcium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chtbs_e,"N,N'-diacetylchitobiose",,,,,,,,,IN,,IS,IN,IN,IS,,,,,,,,,,IN,,IS,IN,IN,IS,
cobalt2_e,Co2+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colipa_e,Core oligosaccharide lipid A,,,,,,,,,OUT,IS,IS,IS,IS,IS,IS,,,,,,,,,OUT,IS,IS,IS,IS,IS,IS
colipap_e,Core oligosaccharide lipid A diphosphate,,,,,,,,,OUT,,IS,IS,IS,IS,,,,,,,,,,OUT,,IS,IS,IS,IS,
cu_e,Cu+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cynt_e,Cyanate,,,,,,,,,IS,IS,IS,IS,IS,IS,IS,,,,,,,,,IS,IS,IS,IS,IS,IS,IS
dad_2_e,Deoxyadenosine,,,IS,IS,IS,IS,,,IN,IN,IN,IN,IN,IN,IN,,,IS,IS,IS,IS,,,IN,IN,IN,IN,IN,IN,IN
damp_e,DAMP C10H12N5O6P,,,,,,,,,IN,IS,IN,IN,IN,IN,IN,,,,,,,,,IN,IS,IN,IN,IN,IN,IN
dca_e,Decanoate (n-C10:0),,,,,,,,IN,IN,IS,IN,IN,IN,IN,IS,,,,,,,,IN,IN,IS,IN,IN,IN,IN,IS
dcmp_e,DCMP C9H12N3O7P,,,,,,,,,IN,IS,IN,IN,IN,IN,IN,,,,,,,,,IN,IS,IN,IN,IN,IN,IN
dopa_e,Dopamine,,,,,,,,IS,IS,IS,IS,IS,IS,IS,IS,,,,,,,,IS,IS,IS,IS,IS,IS,IS,IS
f6p_e,D-Fructose 6-phosphate,,,,,,,,,IN,IS,IN,IN,IN,IN,IN,,,,,,,,,IN,IS,IN,IN,IN,IN,IN
fe3dhbzs_e,"Ferric 2,3-dihydroxybenzoylserine",,,,,,,,,IS,IS,IN,IN,IN,IN,IS,,,,,,,,,IS,IS,IN,IN,IN,IN,IS
fe3hox_un_e,"Fe(III)hydoxamate, unloaded",,,,,,,,,IS,,IS,IS,IS,IS,,,,,,,,,,IS,,IS,IS,IS,IS,
for_e,Formate,,OUT,IS,IS,IS,IS,IN,IN,GSC,GSC,GSC,GSC,GSC,GSC,OUT,,OUT,IS,IS,IS,IS,IN,IN,GSC,GSC,GSC,GSC,GSC,GSC,OUT
fum_e,Fumarate,,,,,,,,IN,GSC,GSC,IN,IN,IN,IN,OUT,,,,,,,,IN,GSC,GSC,IN,IN,IN,IN,OUT
fusa_e,Fusidic acid,,,,,,,,,IS,,IS,IS,IS,IS,,,,,,,,,,IS,,IS,IS,IS,IS,
g3pg_e,Glycerophosphoglycerol,,,,,,,,,GSC,GSC,GSC,IN,GSC,GSC,GSC,,,,,,,,,GSC,GSC,GSC,IN,GSC,GSC,GSC
gal_e,D-Galactose,,,,,,,IS,,IN,GSC,IN,IN,IN,IN,IN,,,,,,,IS,,IN,GSC,IN,IN,IN,IN,IN
gal1p_e,Alpha-D-Galactose 1-phosphate,,,,,,,,,IN,IS,IN,IN,IN,IN,IN,,,,,,,,,IN,IS,IN,IN,IN,IN,IN
galct__D_e,D-Galactarate,,,,,,,,IN,IN,IS,IS,IN,IN,IS,IN,,,,,,,,IN,IN,IS,IS,IN,IN,IS,IN
galctn__D_e,D-Galactonate,,,,,,,IS,,IN,IS,IS,IS,IS,IS,IN,,,,,,,IS,,IN,IS,IS,IS,IS,IS,IN
galctn__L_e,L-Galactonate,,,,,,,,,IN,IS,IS,IS,IN,IN,IS,,,,,,,,,IN,IS,IS,IS,IN,IN,IS
gam6p_e,D-Glucosamine 6-phosphate,,,,,,,,,IN,IN,IN,IN,IN,IN,IN,,,,,,,,,IN,IN,IN,IN,IN,IN,IN
glyb_e,Glycine betaine,IS,,,,,,IS,IN,IS,IS,IS,IS,IS,IS,IS,IS,,,,,,IS,IN,IS,IS,IS,IS,IS,IS,IS
gtp_e,GTP C10H12N5O14P3,,,,,,,,,IS,IS,IS,IS,IS,IS,IS,,,,,,,,,IS,IS,IS,IS,IS,IS,IS
h2o2_e,Hydrogen peroxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h2s_e,Hydrogen sulfide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hxa_e,Hexanoate (n-C6:0),,,,,,,,IN,GSC,IS,GSC,GSC,GSC,GSC,IS,,,,,,,,IN,GSC,IS,GSC,GSC,GSC,GSC,IS
ins_e,Inosine,,,IN,IN,IN,IN,,IS,GSC,,IN,IN,IN,IN,IN,,,IN,IN,IN,IN,,IS,GSC,,IN,IN,IN,IN,IN
kdo2lipid4_e,KDO(2)-lipid IV(A),,OUT,,,,,,,OUT,,OUT,OUT,OUT,OUT,OUT,,OUT,,,,,,,OUT,,OUT,OUT,OUT,OUT,OUT
lac__D_e,D-Lactate,,,OUT,OUT,OUT,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,,OUT,OUT,OUT,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
lac__L_e,L-Lactate,,,OUT,OUT,OUT,OUT,IS,IN,GSC,GSC,IN,GSC,IN,GSC,IN,,,OUT,OUT,OUT,OUT,IS,IN,GSC,GSC,IN,GSC,IN,GSC,IN
lyx__L_e,L-Lyxose,,,,,,,,,IN,IS,IS,IN,IN,IS,IN,,,,,,,,,IN,IS,IS,IN,IN,IS,IN
mal__D_e,D-Malate,,,,,,,,IS,IN,IN,IN,IS,IN,IN,IS,,,,,,,,IS,IN,IN,IN,IS,IN,IN,IS
mal__L_e,L-Malate,,,,,,,,IN,GSC,IN,GSC,GSC,GSC,GSC,IN,,,,,,,,IN,GSC,IN,GSC,GSC,GSC,GSC,IN
malttr_e,Maltotriose C18H32O16,,,,,,,IS,,IN,IN,IS,IN,IN,IS,IN,,,,,,,IS,,IN,IN,IS,IN,IN,IS,IN
man6p_e,D-Mannose 6-phosphate,,,,,,,,,IN,IN,IN,IN,IN,IN,IN,,,,,,,,,IN,IN,IN,IN,IN,IN,IN
manglyc_e,2(alpha-D-Mannosyl)-D-glycerate,,,,,,,,,IN,IS,IS,IN,IN,IN,IS,,,,,,,,,IN,IS,IS,IN,IN,IN,IS
meoh_e,Methanol,IN,OUT,,,,,,GSC,OUT,,OUT,OUT,OUT,OUT,,IN,OUT,,,,,,GSC,OUT,,OUT,OUT,OUT,OUT,
metsox_R__L_e,L-methionine-R-sulfoxide,,,,,,,,,IS,IS,IS,IS,IS,IS,IS,,,,,,,,,IS,IS,IS,IS,IS,IS,IS
mmet_e,S-Methyl-L-methionine,,,,,,,,IN,IS,IS,IS,IS,IS,IS,IS,,,,,,,,IN,IS,IS,IS,IS,IS,IS,IS
mn2_e,Manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na1_e,Sodium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nmn_e,NMN C11H14N2O8P,,,,,,,,,IN,IS,IN,IN,IN,IN,IN,,,,,,,,,IN,IS,IN,IN,IN,IN,IN
octa_e,Octanoate (n-C8:0),,,,,,,,IN,IN,IS,IN,IN,IN,IN,IN,,,,,,,,IN,IN,IS,IN,IN,IN,IN,IN
orot_e,Orotate C5H3N2O4,,,,,,,,IN,IS,IS,IS,IS,IS,IS,IS,,,,,,,,IN,IS,IS,IS,IS,IS,IS,IS
pi_e,Phosphate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pnto__R_e,(R)-Pantothenate,OUT,,IS,IS,IS,IS,,IS,IS,IS,IS,IS,IS,IS,IS,OUT,,IS,IS,IS,IS,,IS,IS,IS,IS,IS,IS,IS,IS
ppt_e,Phosphonate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so2_e,Sulfur dioxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
